team,days_rest,b2b_flag,home_away
OKC,0,True,AWAY
TOR,0,True,AWAY
ORL,1,False,AWAY
HOU,1,False,HOME
DEN,0,True,HOME
NYK,0,True,HOME
DET,1,False,AWAY
DAL,0,True,AWAY
GSW,1,False,AWAY
POR,0,True,HOME
LAC,0,True,AWAY
MIL,1,False,HOME
ATL,1,False,HOME
PHX,0,True,AWAY
MEM,0,True,AWAY
SAS,0,True,HOME
CLE,1,False,AWAY
IND,0,True,HOME
PHI,2,False,AWAY
UTA,99,False,UNKNOWN
CHI,0,True,HOME
NOP,1,False,AWAY
BOS,0,True,HOME
WAS,99,False,UNKNOWN
LAL,1,False,HOME
MIA,0,True,AWAY
SAC,1,False,HOME
MIN,1,False,AWAY
CHA,1,False,HOME
