team,days_rest,b2b_flag,home_away
CHI,0,True,AWAY
GSW,0,True,AWAY
OKC,0,True,HOME
MEM,0,True,AWAY
ATL,1,False,AWAY
IND,1,False,HOME
TOR,1,False,HOME
CLE,1,False,HOME
CHA,1,False,AWAY
BOS,1,False,HOME
DEN,0,True,AWAY
SAC,0,True,AWAY
LAC,0,True,HOME
BKN,99,False,UNKNOWN
PHI,1,False,HOME
DAL,0,True,HOME
MIA,1,False,HOME
NYK,1,False,HOME
MIN,0,True,HOME
HOU,0,True,HOME
PHX,0,True,AWAY
POR,0,True,HOME
DET,1,False,AWAY
SAS,0,True,HOME
MIL,0,True,AWAY
LAL,0,True,HOME
UTA,99,False,UNKNOWN
WAS,99,False,UNKNOWN
NOP,1,False,AWAY
ORL,0,True,AWAY
