team,days_rest,b2b_flag,home_away
IND,0,True,UNKNOWN
MEM,1,False,UNKNOWN
BOS,0,True,UNKNOWN
CHI,1,False,UNKNOWN
DET,0,True,UNKNOWN
SAS,1,False,UNKNOWN
LAL,0,True,UNKNOWN
TOR,0,True,UNKNOWN
MIA,0,True,UNKNOWN
CHA,0,True,UNKNOWN
PHX,1,False,UNKNOWN
MIN,2,False,UNKNOWN
GSW,0,True,UNKNOWN
WAS,99,False,UNKNOWN
NYK,0,True,UNKNOWN
ATL,0,True,UNKNOWN
HOU,0,True,UNKNOWN
UTA,99,False,UNKNOWN
DEN,1,False,UNKNOWN
PHI,0,True,UNKNOWN
LAC,1,False,UNKNOWN
BKN,99,False,UNKNOWN
DAL,1,False,UNKNOWN
POR,1,False,UNKNOWN
SAC,2,False,UNKNOWN
CLE,0,True,UNKNOWN
NOP,0,True,UNKNOWN
ORL,2,False,UNKNOWN
OKC,1,False,UNKNOWN
MIL,2,False,UNKNOWN
