projection_id,player_id,player_name,team,position,stat_type,line_score,standard_line,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,delta_pct,stat_norm,player_role,opponent,is_home,nhl_player_id,combo_prop,combo_player_ids,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_gp,def_rank,def_tier,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,hit_rate_over_L5,over_L5,under_L5,sample_L5,hit_rate_over_L10,over_L10,under_L10,sample_L10,hit_rate_over_L20,over_L20,under_L20,sample_L20,hit_rate_over_season,sample_season,composite_hit_rate,recommended_side,edge
11456444,58601,Robert Thomas,STL,F,Faceoffs Won,9,9.0,standard,False,UTA,STL,UTA,2026-04-16T19:30:00.000-04:00,144901,2026-04-16T18:36:34Z,1.0,faceoffs_won,SKATER,UTA,0,8480023,False,,2.786,0.0,0.0,3.129,0.0,0.0,70.0,4.0,ELITE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5
11456445,268547,Kevin Stenlund,UTA,F,Faceoffs Won,7.5,7.5,standard,False,STL,STL,UTA,2026-04-16T19:30:00.000-04:00,144901,2026-04-16T18:36:34Z,1.0,faceoffs_won,SKATER,STL,1,8478831,False,,3.294,0.0,0.0,2.618,0.0,0.0,68.0,24.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5
11456788,268943,Liam O'Brien,UTA,F,Hits,3.5,3.5,standard,False,STL,STL,UTA,2026-04-16T19:30:00.000-04:00,144901,2026-04-16T18:36:34Z,1.0,hits,SKATER,STL,1,8477070,False,,3.294,0.0,0.0,2.618,0.0,0.0,68.0,24.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5
11456812,87698,Nathan Walker,STL,F,Hits,3.5,,demon,False,UTA,STL,UTA,2026-04-16T19:30:00.000-04:00,144901,2026-04-16T18:36:34Z,,hits,SKATER,UTA,0,8477573,False,,2.786,0.0,0.0,3.129,0.0,0.0,70.0,4.0,ELITE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,OVER,-0.5
11456790,268545,Brandon Tanev,UTA,F,Hits,2.5,,demon,False,STL,STL,UTA,2026-04-16T19:30:00.000-04:00,144901,2026-04-16T18:36:34Z,,hits,SKATER,STL,1,8479293,False,,3.294,0.0,0.0,2.618,0.0,0.0,68.0,24.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,OVER,-0.5
11456794,218312,Jake Neighbours,STL,F,Hits,1.5,1.5,standard,False,UTA,STL,UTA,2026-04-16T19:30:00.000-04:00,144901,2026-04-16T18:36:34Z,1.0,hits,SKATER,UTA,0,8482089,False,,2.786,0.0,0.0,3.129,0.0,0.0,70.0,4.0,ELITE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5
11456800,218311,Dylan Holloway,STL,F,Hits,1.5,1.5,standard,False,UTA,STL,UTA,2026-04-16T19:30:00.000-04:00,144901,2026-04-16T18:36:34Z,1.0,hits,SKATER,UTA,0,8482077,False,,2.786,0.0,0.0,3.129,0.0,0.0,70.0,4.0,ELITE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5
11456802,270012,Nate Schmidt,UTA,D,Hits,0.5,0.5,standard,False,STL,STL,UTA,2026-04-16T19:30:00.000-04:00,144901,2026-04-16T18:36:34Z,1.0,hits,SKATER,STL,1,8477220,False,,3.294,0.0,0.0,2.618,0.0,0.0,68.0,24.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5
11456803,215507,Sean Durzi,UTA,D,Hits,0.5,0.5,standard,False,STL,STL,UTA,2026-04-16T19:30:00.000-04:00,144901,2026-04-16T18:36:34Z,1.0,hits,SKATER,STL,1,8480434,False,,3.294,0.0,0.0,2.618,0.0,0.0,68.0,24.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5
11456804,220957,Ian Cole,UTA,D,Hits,0.5,0.5,standard,False,STL,STL,UTA,2026-04-16T19:30:00.000-04:00,144901,2026-04-16T18:36:34Z,1.0,hits,SKATER,STL,1,8474013,False,,3.294,0.0,0.0,2.618,0.0,0.0,68.0,24.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5
