team,n_teams,overall_rank,pass_rank,pass_tier,rush_rank,rush_tier,points_rank,points_tier,sacks_rank,sacks_tier,to_rank,to_tier,opp_pass,opp_rush,opp_points,sacks,turnovers_forced,season
ARI,32,29,24,EASY_MID,25,EASY_MID,29,EASY,28,EASY,14,MID,230.76471,126.941,28.705882352941178,30.0,21.0,2025
ATL,32,19,13,MID,24,EASY_MID,19,MID,2,HARD,19,MID,200.41176,126.235,23.58823529411765,57.0,18.0,2025
BAL,32,18,30,EASY,10,HARD_MID,18,MID,28,EASY,7,HARD_MID,247.94118,106.647,23.41176470588235,30.0,23.0,2025
BUF,32,12,1,HARD,28,EASY,12,HARD_MID,20,EASY_MID,17,MID,156.94118,136.176,21.47058823529412,36.0,19.0,2025
CAR,32,15,15,MID,20,EASY_MID,15,MID,28,EASY,7,HARD_MID,203.94118,123.294,22.352941176470587,30.0,23.0,2025
CHI,32,23,22,EASY_MID,27,EASY,23,EASY_MID,22,EASY_MID,32,EASY,227.23529,134.529,24.41176470588235,35.0,11.0,2025
CIN,32,30,26,EASY,32,EASY,30,EASY,26,EASY,4,HARD,233.82353,147.059,28.94117647058824,34.0,24.0,2025
CLE,32,14,3,HARD,16,MID,14,MID,3,HARD,3,HARD,167.23529,116.412,22.294117647058822,53.0,25.0,2025
DAL,32,32,32,EASY,23,EASY_MID,32,EASY,22,EASY_MID,14,MID,251.52942,125.471,30.058823529411764,35.0,21.0,2025
DEN,32,3,7,HARD_MID,2,HARD,3,HARD,1,HARD,21,EASY_MID,187.17647,91.059,18.294117647058822,68.0,17.0,2025
DET,32,22,20,EASY_MID,14,MID,22,EASY_MID,4,HARD,25,EASY_MID,217.35294,114.529,24.294117647058822,49.0,15.0,2025
GB,32,11,11,HARD_MID,18,MID,11,HARD_MID,20,EASY_MID,30,EASY,194.11765,117.706,21.176470588235293,36.0,13.0,2025
HOU,32,2,6,HARD,4,HARD,2,HARD,7,HARD_MID,31,EASY,183.52942,93.706,17.352941176470587,47.0,12.0,2025
IND,32,21,30,EASY,7,HARD_MID,21,EASY_MID,15,MID,7,HARD_MID,247.94118,101.882,24.235294117647054,39.0,23.0,2025
JAX,32,8,21,EASY_MID,1,HARD,8,HARD_MID,27,EASY,19,MID,218.05882,85.588,19.764705882352946,32.0,18.0,2025
KC,32,6,12,HARD_MID,9,HARD_MID,6,HARD,22,EASY_MID,25,EASY_MID,195.82353,105.706,19.294117647058822,35.0,15.0,2025
LV,32,25,14,MID,17,MID,25,EASY_MID,18,MID,7,HARD_MID,201.0,116.824,25.41176470588235,37.0,23.0,2025
LAC,32,9,5,HARD,8,HARD_MID,9,HARD_MID,10,HARD_MID,14,MID,179.88235,105.353,20.0,45.0,21.0,2025
LAR,32,10,19,MID,12,HARD_MID,10,HARD_MID,7,HARD_MID,25,EASY_MID,216.70589,110.824,20.352941176470587,47.0,15.0,2025
MIA,32,24,18,MID,26,EASY,24,EASY_MID,15,MID,4,HARD,216.35294,132.412,24.94117647058824,39.0,24.0,2025
MIN,32,7,2,HARD,21,EASY_MID,7,HARD_MID,4,HARD,1,HARD,158.47058,124.118,19.58823529411765,49.0,30.0,2025
NE,32,4,9,HARD_MID,6,HARD,4,HARD,22,EASY_MID,23,EASY_MID,193.52942,101.706,18.823529411764707,35.0,16.0,2025
NO,32,16,4,HARD,19,MID,16,MID,10,HARD_MID,4,HARD,179.17647,120.588,22.529411764705884,45.0,24.0,2025
NYG,32,26,16,MID,31,EASY,26,EASY,15,MID,21,EASY_MID,214.23529,145.294,25.823529411764707,39.0,17.0,2025
NYJ,32,31,17,MID,29,EASY,31,EASY,31,EASY,7,HARD_MID,216.11765,139.471,29.58823529411765,26.0,23.0,2025
PHI,32,5,8,HARD_MID,22,EASY_MID,5,HARD,12,HARD_MID,25,EASY_MID,189.76471,124.412,19.11764705882353,42.0,15.0,2025
PIT,32,17,29,EASY,13,MID,17,MID,6,HARD,25,EASY_MID,243.88235,113.059,22.764705882352946,48.0,15.0,2025
SF,32,13,25,EASY_MID,11,HARD_MID,13,MID,32,EASY,13,MID,232.41176,107.824,21.823529411764707,20.0,22.0,2025
SEA,32,1,10,HARD_MID,3,HARD,1,HARD,7,HARD_MID,2,HARD,193.94118,91.941,17.176470588235293,47.0,28.0,2025
TB,32,20,27,EASY,5,HARD,20,EASY_MID,18,MID,23,EASY_MID,238.17647,99.059,24.176470588235293,37.0,16.0,2025
TEN,32,28,23,EASY_MID,15,MID,28,EASY,12,HARD_MID,17,MID,230.52942,114.588,28.11764705882353,42.0,19.0,2025
WSH,32,27,28,EASY,30,EASY,27,EASY,12,HARD_MID,7,HARD_MID,242.47058,141.824,26.529411764705884,42.0,23.0,2025
