Category,Script,Command,Description
Setup,N/A,"cd ""C:\Users\halek\OneDrive\Desktop\PropORACLE""","Open PowerShell in project root"
Main Pipeline,run_pipeline.ps1,".\run_pipeline.ps1","Full parallel run (NBA+CBB+NHL+Soccer+Combined)"
Main Pipeline,run_pipeline.ps1,".\run_pipeline.ps1 -Date 2026-03-20","Run full pipeline for a specific date"
Main Pipeline,run_pipeline.ps1,".\run_pipeline.ps1 -NBAOnly","Run NBA only, then Combined"
Main Pipeline,run_pipeline.ps1,".\run_pipeline.ps1 -CBBOnly","Run CBB only, then Combined"
Main Pipeline,run_pipeline.ps1,".\run_pipeline.ps1 -NHLOnly","Run NHL only, then Combined"
Main Pipeline,run_pipeline.ps1,".\run_pipeline.ps1 -MLBOnly","Run MLB only, then Combined"
Main Pipeline,run_pipeline.ps1,".\run_pipeline.ps1 -SoccerOnly","Run Soccer only, then Combined"
Main Pipeline,run_pipeline.ps1,".\run_pipeline.ps1 -WNBAOnly","Run WNBA only"
Main Pipeline,run_pipeline.ps1,".\run_pipeline.ps1 -CombinedOnly","Rebuild Combined only from existing outputs"
Main Pipeline,run_pipeline.ps1,".\run_pipeline.ps1 -SkipFetch","Skip step1 fetch for selected/full run"
Main Pipeline,run_pipeline.ps1,".\run_pipeline.ps1 -NBAOnly -SkipFetch","NBA run without step1 fetch"
Main Pipeline,run_pipeline.ps1,".\run_pipeline.ps1 -NHLOnly -SkipFetch","NHL run without step1 fetch"
Main Pipeline,run_pipeline.ps1,".\run_pipeline.ps1 -SoccerOnly -SkipFetch","Soccer run without step1 fetch"
Main Pipeline,run_pipeline.ps1,".\run_pipeline.ps1 -RefreshCache","Wipe and rebuild NBA ESPN cache"
Main Pipeline,run_pipeline.ps1,".\run_pipeline.ps1 -CacheAgeDays 7","Auto-refresh cache when older than N days"
Main Pipeline,run_pipeline.ps1,".\run_pipeline.ps1 -NBAOnly -OddsApiKey ""YOUR_ODDS_API_KEY""","Override odds API key"
Grader,scripts\run_grader.ps1,".\scripts\run_grader.ps1","Run grader for yesterday"
Grader,scripts\run_grader.ps1,".\scripts\run_grader.ps1 -Date 2026-03-19","Run grader for specific date"
WNBA,scripts\run_wnba_pipeline.ps1,".\scripts\run_wnba_pipeline.ps1","Run full WNBA pipeline"
WNBA,scripts\run_wnba_pipeline.ps1,".\scripts\run_wnba_pipeline.ps1 -Date 2026-07-15","Run WNBA for specific date"
WNBA,scripts\run_wnba_pipeline.ps1,".\scripts\run_wnba_pipeline.ps1 -RefreshCache","Clear WNBA ESPN cache"
WNBA,scripts\run_wnba_pipeline.ps1,".\scripts\run_wnba_pipeline.ps1 -SkipFetch","Run WNBA without step1 fetch"
Soccer,Soccer\scripts\run_soccer_pipeline.ps1,".\Soccer\scripts\run_soccer_pipeline.ps1","Run Soccer pipeline"
Soccer,Soccer\scripts\run_soccer_pipeline.ps1,".\Soccer\scripts\run_soccer_pipeline.ps1 -SkipFetch","Run Soccer without step1 fetch"
Soccer,Soccer\scripts\run_soccer_pipeline.ps1,".\Soccer\scripts\run_soccer_pipeline.ps1 -LeagueId 1234","Run Soccer for a specific league"
Soccer,Soccer\scripts\run_soccer_pipeline.ps1,".\Soccer\scripts\run_soccer_pipeline.ps1 -NTeams 20","Set number of teams in ranking"
Daily Grades,scripts\daily_grades.ps1,".\scripts\daily_grades.ps1","Build and push yesterday grades"
Daily Grades,scripts\daily_grades.ps1,".\scripts\daily_grades.ps1 -Date 2026-03-19","Build and push grades for specific date"
Scheduler,scripts\Register_Daily_Task.ps1,"Set-ExecutionPolicy RemoteSigned -Scope CurrentUser","Allow local script execution"
Scheduler,scripts\Register_Daily_Task.ps1,".\scripts\Register_Daily_Task.ps1","Register daily scheduled task"
Scheduler,Task Scheduler,"Start-ScheduledTask -TaskName ""PropOracle - Master Pipeline Daily""","Trigger scheduled task now"
Scheduler,Task Scheduler,"Get-ScheduledTaskInfo -TaskName ""PropOracle - Master Pipeline Daily"" | Select LastRunTime, LastTaskResult","Check last run status"
Scheduler,Task Scheduler,"Unregister-ScheduledTask -TaskName ""PropOracle - Master Pipeline Daily"" -Confirm:$false","Remove scheduled task"
Python Direct,scripts\grading\build_grades_html.py,"py -3.14 .\scripts\grading\build_grades_html.py --date 2026-03-19 --out .\ui_runner\templates","Build grades HTML manually"
Python Direct,scripts\combined_slate_tickets.py,"py -3.14 .\scripts\combined_slate_tickets.py --help","Show options for combined ticket builder"
