TEAM_ABBREVIATION,SP_ERA,WHIP,OBP_ALLOWED,ERA_RANK,WHIP_RANK,OBP_ALLOWED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,def_rank,def_tier,inningsPitched,gamesPlayed
NYY,3.05,1.12,0.286,1,1,1,1.0,1,Elite,1,Elite,283.2,32.0
ATL,3.17,1.16,0.294,2,3,3,2.5384615384615383,3,Elite,2,Elite,295.0,33.0
LAD,3.29,1.13,0.289,3,2,2,2.4615384615384617,2,Elite,3,Elite,282.0,32.0
TEX,3.48,1.21,0.302,4,5,6,4.769230769230769,4,Elite,4,Elite,281.2,32.0
MIL,3.65,1.27,0.314,5,10,11,7.923076923076923,8,Above Avg,5,Above Avg,276.1,31.0
PIT,3.73,1.24,0.307,6,7,8,6.76923076923077,5,Elite,6,Elite,301.1,33.0
SEA,3.77,1.26,0.321,7,9,14,9.23076923076923,10,Above Avg,7,Above Avg,291.1,33.0
CLE,3.82,1.24,0.306,8,7,7,7.461538461538462,7,Above Avg,8,Above Avg,287.1,33.0
SF,3.94,1.3,0.316,9,13,12,10.923076923076923,11,Above Avg,9,Above Avg,283.1,32.0
TB,3.94,1.22,0.296,9,6,4,6.923076923076923,6,Elite,9,Elite,278.1,31.0
MIA,3.98,1.28,0.311,11,12,10,11.076923076923078,12,Above Avg,11,Above Avg,280.2,32.0
DET,3.99,1.33,0.321,12,17,14,14.0,14,Avg,12,Avg,284.1,33.0
CHC,4.01,1.2,0.298,13,4,5,8.384615384615385,9,Above Avg,13,Above Avg,285.0,32.0
NYM,4.13,1.27,0.31,14,10,9,11.615384615384617,13,Avg,14,Avg,285.2,32.0
CIN,4.19,1.45,0.343,15,27,28,21.692307692307693,21,Below Avg,15,Below Avg,288.0,32.0
BOS,4.24,1.32,0.321,16,15,14,15.230769230769232,16,Avg,16,Avg,280.1,32.0
TOR,4.27,1.3,0.316,17,13,12,14.615384615384617,15,Avg,17,Avg,284.2,32.0
COL,4.28,1.38,0.332,18,19,20,18.76923076923077,19,Below Avg,18,Below Avg,290.1,33.0
MIN,4.33,1.36,0.331,19,18,19,18.692307692307693,18,Avg,19,Avg,289.0,33.0
ATH,4.35,1.44,0.341,20,24,25,22.384615384615387,22,Below Avg,20,Below Avg,285.1,32.0
SD,4.37,1.32,0.327,21,15,17,18.230769230769234,17,Avg,21,Avg,276.0,31.0
CWS,4.38,1.4,0.336,22,21,21,21.461538461538463,20,Below Avg,22,Below Avg,283.2,32.0
BAL,4.39,1.44,0.336,23,24,21,22.846153846153847,23,Below Avg,23,Below Avg,284.2,32.0
KC,4.56,1.43,0.338,24,23,23,23.461538461538463,24,Below Avg,24,Below Avg,280.0,32.0
LAA,4.6,1.44,0.341,25,24,25,24.692307692307693,27,Weak,25,Weak,289.1,33.0
STL,4.67,1.42,0.34,26,22,24,24.307692307692307,26,Weak,26,Weak,289.0,32.0
PHI,4.84,1.47,0.342,27,28,27,27.30769230769231,28,Weak,27,Weak,284.1,32.0
WSH,5.01,1.47,0.344,28,28,29,28.230769230769234,29,Weak,28,Weak,298.0,33.0
AZ,5.04,1.39,0.329,29,20,18,23.692307692307693,25,Weak,29,Weak,273.1,31.0
HOU,6.0,1.63,0.375,30,30,30,30.0,30,Weak,30,Weak,286.1,33.0
